query_id,record_id,site_id,form_name,field_name,query_type,query_status,raised_by,raised_date,closed_date,days_open,query_text,country
68,1027,Chur,Visit CRF,ae_severity,Out of range,Answered,Data Manager,2025-04-09,NA,187,Value appears out of expected range.,Switzerland
69,1032,Lausanne,Visit CRF,lab_hb,Logic discrepancy,Answered,System Check,2025-08-18,NA,56,Value inconsistent with related field.,Switzerland
70,1091,St. Gallen,Con Meds,height,Logic discrepancy,Closed,Data Manager,2025-03-18,2025-04-15,28,Value inconsistent with related field.,Switzerland
71,1072,Basel,Vitals,lab_ast,Out of range,Closed,System Check,2025-01-16,2025-02-03,18,Value appears out of expected range.,Switzerland
72,1056,Baden,Labs,age,Logic discrepancy,Open,System Check,2025-06-07,NA,128,Value inconsistent with related field.,Switzerland
73,1044,Geneva,Demographics,age,Missing data,Open,Monitor,2025-02-10,NA,245,"Field left empty, please verify.",Switzerland
74,1088,Luzern,Visit CRF,height,Out of range,Closed,System Check,2025-03-21,2025-04-09,19,Value appears out of expected range.,Switzerland
75,1012,Solothurn,Adverse Events,weight,Missing data,Answered,Monitor,2025-04-15,NA,181,"Field left empty, please verify.",Switzerland
76,1081,Zurich,Con Meds,weight,Text clarification,Open,Data Manager,2025-08-27,NA,47,Please clarify the text entry.,Switzerland
77,1083,Sion,Con Meds,bp_dia,Missing data,Answered,Monitor,2025-09-05,NA,38,"Field left empty, please verify.",Switzerland
78,1082,Amiens,Demographics,age,Missing data,Closed,Monitor,2025-06-21,2025-06-27,6,"Field left empty, please verify.",France
79,1024,Chur,Adverse Events,height,Out of range,Answered,Monitor,2025-04-15,NA,181,Value appears out of expected range.,Switzerland
80,1066,Geneva,Demographics,lab_hb,Out of range,Open,Data Manager,2025-04-15,NA,181,Value appears out of expected range.,Switzerland
81,1090,Zurich,Vitals,gender,Incorrect date,Answered,Monitor,2025-07-08,NA,97,Date seems inconsistent with visit schedule.,Switzerland
82,1036,Solothurn,Visit CRF,ae_severity,Out of range,Answered,Monitor,2025-04-15,NA,181,Value appears out of expected range.,Switzerland
83,1034,Baden,Vitals,bp_sys,Out of range,Open,Monitor,2025-08-10,NA,64,Value appears out of expected range.,Switzerland
84,1087,Geneva,Vitals,bp_dia,Missing data,Closed,Data Manager,2025-01-30,2025-02-01,2,"Field left empty, please verify.",Switzerland
85,1069,Chur,Adverse Events,bp_dia,Logic discrepancy,Closed,Monitor,2025-04-07,2025-04-12,5,Value inconsistent with related field.,Switzerland
86,1117,Chur,Adverse Events,lab_hb,Out of range,Open,Monitor,2025-03-11,NA,216,Value appears out of expected range.,Switzerland
87,1001,Zurich,Vitals,bp_sys,Out of range,Closed,Data Manager,2025-05-19,2025-06-17,29,Value appears out of expected range.,Switzerland
88,1032,Aarau,Visit CRF,bp_sys,Text clarification,Closed,Monitor,2025-07-02,2025-07-19,17,Please clarify the text entry.,Switzerland
89,1054,Sion,Vitals,height,Missing data,Closed,System Check,2025-05-25,2025-06-18,24,"Field left empty, please verify.",Switzerland
90,1008,Lugano,Labs,bp_dia,Missing data,Open,Data Manager,2025-09-25,NA,18,"Field left empty, please verify.",Switzerland
91,1024,Luzern,Con Meds,bp_sys,Missing data,Closed,Monitor,2025-05-25,2025-06-01,7,"Field left empty, please verify.",Switzerland
92,1026,Solothurn,Demographics,weight,Logic discrepancy,Open,Monitor,2025-07-07,NA,98,Value inconsistent with related field.,Switzerland
93,1079,Berlin,Vitals,lab_glucose,Logic discrepancy,Answered,Monitor,2025-06-13,NA,122,Value inconsistent with related field.,Germany
94,1077,Bellinzona,Vitals,weight,Text clarification,Open,Data Manager,2025-01-30,NA,256,Please clarify the text entry.,Switzerland
95,1008,Lugano,Adverse Events,ae_term,Missing data,Answered,Monitor,2025-07-05,NA,100,"Field left empty, please verify.",Switzerland
96,1037,Berlin,Adverse Events,lab_ast,Out of range,Closed,Monitor,2025-08-08,2025-08-11,3,Value appears out of expected range.,Germany
97,1076,Luzern,Adverse Events,lab_ast,Out of range,Open,Data Manager,2025-05-14,NA,152,Value appears out of expected range.,Switzerland
98,1100,Basel,Labs,bp_dia,Text clarification,Closed,System Check,2025-01-07,2025-01-27,20,Please clarify the text entry.,Switzerland
99,1101,Luzern,Vitals,bp_sys,Text clarification,Open,Monitor,2025-05-09,NA,157,Please clarify the text entry.,Switzerland
100,1005,Olten,Con Meds,ae_start,Missing data,Open,Data Manager,2025-08-13,NA,61,"Field left empty, please verify.",Switzerland
101,1062,Basel,Labs,gender,Logic discrepancy,Closed,Data Manager,2025-06-18,2025-06-22,4,Value inconsistent with related field.,Switzerland
102,1063,Zurich,Con Meds,gender,Out of range,Closed,Data Manager,2025-08-18,2025-09-10,23,Value appears out of expected range.,Switzerland
103,1023,Bern,Demographics,lab_ast,Out of range,Closed,Monitor,2025-03-04,2025-03-26,22,Value appears out of expected range.,Switzerland
104,1043,Sion,Demographics,age,Missing data,Closed,System Check,2025-01-06,2025-01-18,12,"Field left empty, please verify.",Switzerland
105,1001,Berlin,Con Meds,lab_hb,Logic discrepancy,Closed,System Check,2025-07-03,2025-07-16,13,Value inconsistent with related field.,Germany
106,1033,Fribourg,Vitals,lab_glucose,Logic discrepancy,Open,System Check,2025-06-28,NA,107,Value inconsistent with related field.,Switzerland
107,1052,Basel,Vitals,lab_ast,Text clarification,Open,System Check,2025-01-29,NA,257,Please clarify the text entry.,Switzerland
108,1008,Neuchâtel,Vitals,bp_dia,Logic discrepancy,Open,Data Manager,2025-05-31,NA,135,Value inconsistent with related field.,Switzerland
109,1088,Verona,Demographics,bp_dia,Logic discrepancy,Open,Monitor,2025-01-11,NA,275,Value inconsistent with related field.,Italy
110,1005,Paris,Demographics,ae_severity,Incorrect date,Closed,Monitor,2025-07-12,2025-07-13,1,Date seems inconsistent with visit schedule.,France
111,1075,Amiens,Con Meds,ae_severity,Out of range,Open,Data Manager,2025-04-04,NA,192,Value appears out of expected range.,France
112,1094,Paris,Vitals,lab_glucose,Logic discrepancy,Closed,Data Manager,2025-03-25,2025-04-18,24,Value inconsistent with related field.,France
113,1087,Basel,Vitals,age,Missing data,Open,System Check,2025-04-05,NA,191,"Field left empty, please verify.",Switzerland
114,1001,Solothurn,Con Meds,bp_dia,Out of range,Answered,Data Manager,2025-05-01,NA,165,Value appears out of expected range.,Switzerland
115,1065,Zurich,Visit CRF,weight,Text clarification,Closed,Data Manager,2025-04-17,2025-05-14,27,Please clarify the text entry.,Switzerland
116,1024,Aarau,Con Meds,lab_hb,Missing data,Answered,Monitor,2025-03-28,NA,199,"Field left empty, please verify.",Switzerland
117,1105,Zurich,Adverse Events,age,Missing data,Open,Data Manager,2025-08-13,NA,61,"Field left empty, please verify.",Switzerland
118,1078,Basel,Visit CRF,lab_ast,Logic discrepancy,Open,Monitor,2025-07-27,NA,78,Value inconsistent with related field.,Switzerland
119,1015,Amiens,Demographics,height,Missing data,Answered,Data Manager,2025-06-07,NA,128,"Field left empty, please verify.",France
120,1098,Olten,Visit CRF,lab_glucose,Logic discrepancy,Open,Data Manager,2025-07-30,NA,75,Value inconsistent with related field.,Switzerland
121,1087,Amiens,Adverse Events,bp_dia,Missing data,Answered,Data Manager,2025-09-23,NA,20,"Field left empty, please verify.",France
122,1038,Solothurn,Vitals,bp_dia,Logic discrepancy,Closed,Data Manager,2025-03-07,2025-03-10,3,Value inconsistent with related field.,Switzerland
123,1007,Lausanne,Vitals,lab_ast,Incorrect date,Open,Data Manager,2025-06-25,NA,110,Date seems inconsistent with visit schedule.,Switzerland
124,1097,Amiens,Vitals,bp_sys,Out of range,Answered,Monitor,2025-08-21,NA,53,Value appears out of expected range.,France
125,1035,Olten,Con Meds,ae_term,Logic discrepancy,Answered,Data Manager,2025-07-28,NA,77,Value inconsistent with related field.,Switzerland
126,1110,Sion,Adverse Events,height,Logic discrepancy,Open,System Check,2025-04-21,NA,175,Value inconsistent with related field.,Switzerland
127,1015,Neuchâtel,Labs,bp_sys,Text clarification,Closed,Monitor,2025-03-26,2025-04-02,7,Please clarify the text entry.,Switzerland
128,1040,Zurich,Vitals,lab_ast,Incorrect date,Answered,Monitor,2025-09-29,NA,14,Date seems inconsistent with visit schedule.,Switzerland
129,1117,Olten,Labs,ae_severity,Missing data,Open,Data Manager,2025-04-16,NA,180,"Field left empty, please verify.",Switzerland
130,1103,Baden,Vitals,bp_sys,Missing data,Closed,Monitor,2025-06-11,2025-06-21,10,"Field left empty, please verify.",Switzerland
131,1022,Solothurn,Labs,bp_dia,Missing data,Open,Monitor,2025-09-23,NA,20,"Field left empty, please verify.",Switzerland
132,1051,Olten,Demographics,ae_start,Missing data,Closed,Monitor,2025-04-20,2025-04-29,9,"Field left empty, please verify.",Switzerland
133,1027,Baden,Visit CRF,age,Missing data,Open,Data Manager,2025-02-17,NA,238,"Field left empty, please verify.",Switzerland
134,1087,Aarau,Labs,weight,Incorrect date,Answered,Monitor,2025-03-06,NA,221,Date seems inconsistent with visit schedule.,Switzerland
135,1075,Bern,Con Meds,ae_start,Missing data,Open,Monitor,2025-03-22,NA,205,"Field left empty, please verify.",Switzerland
136,1086,Solothurn,Adverse Events,ae_term,Out of range,Open,Data Manager,2025-05-09,NA,157,Value appears out of expected range.,Switzerland
137,1120,Neuchâtel,Visit CRF,lab_hb,Incorrect date,Open,Data Manager,2025-03-20,NA,207,Date seems inconsistent with visit schedule.,Switzerland
138,1080,Amiens,Adverse Events,height,Text clarification,Closed,Monitor,2025-03-28,2025-04-26,29,Please clarify the text entry.,France
139,1014,Lugano,Vitals,height,Logic discrepancy,Answered,Data Manager,2025-07-24,NA,81,Value inconsistent with related field.,Switzerland
140,1050,Bern,Demographics,lab_hb,Out of range,Answered,System Check,2025-08-03,NA,71,Value appears out of expected range.,Switzerland
141,1095,Bern,Adverse Events,lab_hb,Out of range,Open,Data Manager,2025-05-10,NA,156,Value appears out of expected range.,Switzerland
142,1046,Aarau,Vitals,age,Logic discrepancy,Answered,System Check,2025-07-08,NA,97,Value inconsistent with related field.,Switzerland
143,1059,Luzern,Demographics,lab_glucose,Logic discrepancy,Closed,Monitor,2025-08-07,2025-08-19,12,Value inconsistent with related field.,Switzerland
144,1108,Lugano,Labs,ae_severity,Missing data,Answered,Data Manager,2025-07-24,NA,81,"Field left empty, please verify.",Switzerland
145,1012,Zurich,Visit CRF,lab_glucose,Out of range,Open,Monitor,2025-09-06,NA,37,Value appears out of expected range.,Switzerland
146,1030,Lugano,Adverse Events,bp_sys,Missing data,Open,Data Manager,2025-07-16,NA,89,"Field left empty, please verify.",Switzerland
147,1105,Bern,Demographics,ae_start,Incorrect date,Open,Data Manager,2025-01-05,NA,281,Date seems inconsistent with visit schedule.,Switzerland
148,1006,Zurich,Visit CRF,age,Missing data,Answered,Data Manager,2025-09-07,NA,36,"Field left empty, please verify.",Switzerland
149,1056,Lausanne,Con Meds,lab_ast,Out of range,Answered,Monitor,2025-09-18,NA,25,Value appears out of expected range.,Switzerland
150,1039,Fribourg,Adverse Events,bp_sys,Incorrect date,Answered,Monitor,2025-07-14,NA,91,Date seems inconsistent with visit schedule.,Switzerland
151,1057,Luzern,Visit CRF,bp_sys,Incorrect date,Answered,Data Manager,2025-05-13,NA,153,Date seems inconsistent with visit schedule.,Switzerland
152,1058,Bern,Vitals,bp_dia,Text clarification,Open,Monitor,2025-03-06,NA,221,Please clarify the text entry.,Switzerland
153,1025,Neuchâtel,Con Meds,gender,Missing data,Open,Monitor,2025-05-04,NA,162,"Field left empty, please verify.",Switzerland
154,1079,Chur,Demographics,gender,Out of range,Open,Monitor,2025-03-30,NA,197,Value appears out of expected range.,Switzerland
155,1091,Zurich,Con Meds,ae_term,Text clarification,Open,Monitor,2025-09-17,NA,26,Please clarify the text entry.,Switzerland
156,1048,Bellinzona,Visit CRF,age,Text clarification,Answered,Data Manager,2025-08-02,NA,72,Please clarify the text entry.,Switzerland
157,1004,Geneva,Labs,ae_term,Missing data,Open,Monitor,2025-03-24,NA,203,"Field left empty, please verify.",Switzerland
158,1037,Fribourg,Visit CRF,ae_start,Logic discrepancy,Closed,Data Manager,2025-02-04,2025-02-15,11,Value inconsistent with related field.,Switzerland
159,1043,Olten,Adverse Events,lab_ast,Incorrect date,Answered,Monitor,2025-01-03,NA,283,Date seems inconsistent with visit schedule.,Switzerland
160,1059,Neuchâtel,Visit CRF,weight,Out of range,Closed,Monitor,2025-02-15,2025-02-27,12,Value appears out of expected range.,Switzerland
161,1029,Bellinzona,Demographics,age,Out of range,Open,Data Manager,2025-09-20,NA,23,Value appears out of expected range.,Switzerland
162,1015,Baden,Adverse Events,lab_glucose,Text clarification,Answered,Monitor,2025-07-20,NA,85,Please clarify the text entry.,Switzerland
163,1002,Lausanne,Vitals,height,Missing data,Closed,Data Manager,2025-03-02,2025-03-05,3,"Field left empty, please verify.",Switzerland
164,1061,Lausanne,Demographics,lab_glucose,Incorrect date,Answered,Monitor,2025-04-12,NA,184,Date seems inconsistent with visit schedule.,Switzerland
165,1017,Verona,Demographics,bp_sys,Missing data,Closed,Data Manager,2025-06-01,2025-06-17,16,"Field left empty, please verify.",Italy
166,1073,Sion,Con Meds,weight,Logic discrepancy,Answered,Monitor,2025-06-29,NA,106,Value inconsistent with related field.,Switzerland
167,1094,Luzern,Labs,ae_severity,Logic discrepancy,Closed,System Check,2025-01-15,2025-02-04,20,Value inconsistent with related field.,Switzerland
168,1116,Sion,Vitals,ae_severity,Out of range,Open,Data Manager,2025-05-17,NA,149,Value appears out of expected range.,Switzerland
169,1049,Solothurn,Vitals,ae_term,Logic discrepancy,Answered,System Check,2025-02-28,NA,227,Value inconsistent with related field.,Switzerland
170,1031,Bern,Vitals,height,Out of range,Open,Data Manager,2025-08-27,NA,47,Value appears out of expected range.,Switzerland
171,1014,Bern,Visit CRF,height,Out of range,Closed,Monitor,2025-09-12,2025-09-17,5,Value appears out of expected range.,Switzerland
172,1014,Fribourg,Labs,bp_sys,Missing data,Answered,Data Manager,2025-08-16,NA,58,"Field left empty, please verify.",Switzerland
173,1107,Olten,Con Meds,lab_hb,Incorrect date,Open,Monitor,2025-08-10,NA,64,Date seems inconsistent with visit schedule.,Switzerland
174,1006,Sion,Visit CRF,bp_sys,Missing data,Closed,System Check,2025-01-06,2025-01-19,13,"Field left empty, please verify.",Switzerland
175,1064,Berlin,Con Meds,lab_ast,Out of range,Answered,Data Manager,2025-04-19,NA,177,Value appears out of expected range.,Germany
176,1037,Chur,Visit CRF,ae_start,Out of range,Closed,Data Manager,2025-05-04,2025-05-16,12,Value appears out of expected range.,Switzerland
177,1053,Zurich,Demographics,ae_severity,Incorrect date,Open,Data Manager,2025-03-30,NA,197,Date seems inconsistent with visit schedule.,Switzerland
178,1100,Zurich,Visit CRF,bp_dia,Out of range,Closed,Monitor,2025-07-30,2025-08-08,9,Value appears out of expected range.,Switzerland
179,1025,Luzern,Vitals,ae_start,Logic discrepancy,Answered,Monitor,2025-05-14,NA,152,Value inconsistent with related field.,Switzerland
180,1040,Chur,Visit CRF,bp_dia,Logic discrepancy,Open,Data Manager,2025-03-23,NA,204,Value inconsistent with related field.,Switzerland
181,1110,Zurich,Visit CRF,weight,Logic discrepancy,Closed,Monitor,2025-02-13,2025-03-07,22,Value inconsistent with related field.,Switzerland
182,1006,St. Gallen,Con Meds,bp_sys,Out of range,Answered,Monitor,2025-01-31,NA,255,Value appears out of expected range.,Switzerland
183,1068,Neuchâtel,Con Meds,lab_ast,Logic discrepancy,Open,System Check,2025-04-18,NA,178,Value inconsistent with related field.,Switzerland
184,1019,Olten,Con Meds,ae_start,Text clarification,Open,Data Manager,2025-05-17,NA,149,Please clarify the text entry.,Switzerland
185,1078,Solothurn,Labs,lab_glucose,Logic discrepancy,Open,Monitor,2025-04-24,NA,172,Value inconsistent with related field.,Switzerland
186,1007,Basel,Labs,bp_sys,Missing data,Open,Data Manager,2025-01-19,NA,267,"Field left empty, please verify.",Switzerland
187,1024,Lausanne,Visit CRF,lab_glucose,Out of range,Closed,Data Manager,2025-05-22,2025-06-14,23,Value appears out of expected range.,Switzerland
188,1042,Baden,Visit CRF,lab_hb,Missing data,Answered,System Check,2025-03-13,NA,214,"Field left empty, please verify.",Switzerland
189,1044,Paris,Vitals,gender,Logic discrepancy,Closed,Data Manager,2025-07-29,2025-08-26,28,Value inconsistent with related field.,France
190,1115,St. Gallen,Con Meds,age,Missing data,Open,Data Manager,2025-07-10,NA,95,"Field left empty, please verify.",Switzerland
191,1074,St. Gallen,Visit CRF,bp_sys,Missing data,Open,Monitor,2025-09-09,NA,34,"Field left empty, please verify.",Switzerland
192,1069,St. Gallen,Adverse Events,weight,Out of range,Open,System Check,2025-01-02,NA,284,Value appears out of expected range.,Switzerland
193,1008,Fribourg,Labs,ae_severity,Missing data,Answered,Monitor,2025-08-16,NA,58,"Field left empty, please verify.",Switzerland
194,1063,Paris,Adverse Events,gender,Missing data,Closed,Data Manager,2025-05-22,2025-06-06,15,"Field left empty, please verify.",France
195,1017,Chur,Demographics,height,Logic discrepancy,Open,System Check,2025-07-01,NA,104,Value inconsistent with related field.,Switzerland
196,1013,Chur,Con Meds,ae_severity,Missing data,Closed,Data Manager,2025-06-02,2025-06-24,22,"Field left empty, please verify.",Switzerland
197,1035,Olten,Labs,bp_sys,Missing data,Open,System Check,2025-06-13,NA,122,"Field left empty, please verify.",Switzerland
198,1057,Aarau,Visit CRF,ae_start,Incorrect date,Answered,System Check,2025-04-28,NA,168,Date seems inconsistent with visit schedule.,Switzerland
199,1090,Geneva,Visit CRF,bp_sys,Text clarification,Answered,System Check,2025-07-17,NA,88,Please clarify the text entry.,Switzerland
200,1065,Sion,Labs,weight,Missing data,Open,Monitor,2025-02-13,NA,242,"Field left empty, please verify.",Switzerland
201,1060,Berlin,Demographics,gender,Text clarification,Closed,Data Manager,2025-02-02,2025-02-27,25,Please clarify the text entry.,Germany
202,1037,Fribourg,Labs,age,Out of range,Closed,Monitor,2025-03-15,2025-03-19,4,Value appears out of expected range.,Switzerland
203,1022,Berlin,Labs,lab_glucose,Text clarification,Open,Data Manager,2025-01-19,NA,267,Please clarify the text entry.,Germany
204,1112,Basel,Visit CRF,lab_ast,Missing data,Open,Monitor,2025-09-12,NA,31,"Field left empty, please verify.",Switzerland
205,1020,Lugano,Con Meds,lab_hb,Logic discrepancy,Answered,System Check,2025-06-02,NA,133,Value inconsistent with related field.,Switzerland
206,1015,Geneva,Visit CRF,lab_hb,Missing data,Open,Data Manager,2025-04-17,NA,179,"Field left empty, please verify.",Switzerland
207,1118,Olten,Demographics,height,Logic discrepancy,Closed,System Check,2025-07-21,2025-07-24,3,Value inconsistent with related field.,Switzerland
208,1037,Solothurn,Visit CRF,weight,Missing data,Closed,Monitor,2025-09-11,2025-10-08,27,"Field left empty, please verify.",Switzerland
209,1115,Aarau,Vitals,ae_start,Text clarification,Open,Data Manager,2025-02-16,NA,239,Please clarify the text entry.,Switzerland
